index,countryoforigin,visits_2002,visits_2003,visits_2004,visits_2005,visits_2006,visits_2007,visits_2008,visits_2009,visits_2010,visits_2011,visits_2012,visits_2013,visits_2014,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,visits_2020p,nights_2002,nights_2003,nights_2004,nights_2005,nights_2006,nights_2007,nights_2008,nights_2009,nights_2010,nights_2011,nights_2012,nights_2013,nights_2014,nights_2015,nights_2016,nights_2017,nights_2018,nights_2019,nights_2020p,spend_2002,spend_2003,spend_2004,spend_2005,spend_2006,spend_2007,spend_2008,spend_2009,spend_2010,spend_2011,spend_2012,spend_2013,spend_2014,spend_2015,spend_2016,spend_2017,spend_2018,spend_2019,spend_2020p,sample_2002,sample_2003,sample_2004,sample_2005,sample_2006,sample_2007,sample_2008,sample_2009,sample_2010,sample_2011,sample_2012,sample_2013,sample_2014,sample_2015,sample_2016,sample_2017,sample_2018,sample_2019,sample_2020p
0,Argentina,14.6,21.5,23.2,20.9,28.4,30.5,20.1,55.4,52.4,61.1,93.7,93.5,92.5,113.3,126.1,107,115.3,96,31.6,381.7,153.8,222.9,143.6,241,193.2,149.6,334.6,334.8,299.3,779.5,425.4,560.9,714.6,685.4,538.8,1681.5,712.6,245,11.6,11.9,12,9.9,18.1,13.6,11,29.6,34.6,26.8,88.4,48.4,51.2,73.2,65.5,66.2,121,49.8,40.4,39,42,36,34,45,57,32,74,71,70,89,104,108,108,116,108,81,66,40.4
1,Australia,436.9,450.7,477.7,552.6,578.8,595.3,583.7,571.2,624.3,681.3,596.9,687.3,614.9,629,600.4,653.6,588.3,567.6,88.1,3058.7,4205.5,3663.5,3943.1,4459.6,4635.6,4207.9,4486.4,4809.2,4639.7,4267.6,5381.2,4608.2,5149.6,4148.3,4551.1,4239.1,3920,618.4,203.4,234.7,240.2,255.6,308,328.5,354.1,411.2,432.9,500.7,469.7,547.1,561.7,506.4,478.9,553.5,452.4,512.8,83.2,1167,1105,1241,1463,1396,1256,998,1240,1497,1187,1100,1210,1015,949,800,861,632,669,83.2
2,Austria,109.5,129,128.7,122.3,140.8,163.7,141.7,168.8,165.9,164.9,153,142.8,145.4,152.7,180.2,148.4,158.4,205.4,9.9,560.2,715.2,495.8,573.3,776,611.5,757.2,759.7,723.1,869.1,834,621.9,705.2,700.9,782.7,572.6,603.8,641.3,36.2,46.2,54.6,40,45.9,54.2,57.5,67,93,85.5,79.4,70.1,67.2,78.9,84.5,87,66.3,65.5,108.5,5.8,195,162,194,158,192,205,150,244,265,219,190,217,190,195,208,155,128,122,5.8
3,Bahrain,,,,,,,,,,12.1,21.5,23.9,19.2,11.6,17.6,21.2,24,31.1,3.1,,,,,,,,,,99.8,143.6,205.8,180.6,130.6,184.3,195.8,253.7,215.2,26.2,,,,,,,,,,20.1,40.4,64.2,36.1,18.3,35.9,61.3,75.4,54.4,5.4,,,,,,,,,,20,37,40,38,19,27,35,37,42,5.4
4,Belgium,288.6,306.2,359.2,300.5,342.8,351.1,307.7,349.9,488.8,406.4,470.3,530.7,490.2,529.8,453.7,514,511.7,519.2,86.3,866.1,816.8,1134.2,858.9,1212.9,1060,961.9,1291.7,1634.8,1139.5,1336.6,1512.5,1683.1,1417.7,1514.5,1484.8,1480.7,1385.7,237.3,70.9,71.8,95.8,76.7,117.4,105.1,98.6,117.9,169.3,130.7,158.6,203.7,175.8,186.3,145.9,192.8,182.1,194.7,31.5,438,445,571,574,561,472,402,377,446,347,384,448,376,415,350,400,272,267,31.5
5,Brazil,64.7,46.1,58.6,65.4,91.5,108.9,150.9,108.4,149.2,211.3,215.2,220,256,259.6,148.8,195.8,191.9,214,68,796.5,812.6,853.1,996.6,1353.6,1388.2,1570.2,1386.4,1337.5,1615.2,1602,1605.3,2126.7,1975.6,1251.7,1467.3,1336.4,1624.4,465.4,52,53.4,38.5,70,76.3,94.2,109,102.2,117.7,209.8,182.9,213.5,197.8,199.4,112.8,186.2,163.4,178.9,53.9,132,102,113,144,161,167,160,149,241,258,245,282,270,267,188,223,199,180,53.9
6,Bulgaria,,,,,,,44.3,55.7,49.3,52.6,53.9,55.2,71.7,70.3,96,98.3,113,89.2,22.7,,,,,,,686.6,378.3,356.4,708.4,598.6,318.2,972.5,471,813.8,687,829.5,824,78.8,,,,,,,19.5,43.2,25.7,39.2,26.9,27.9,50.7,28.6,31.8,44.4,49.7,45.3,9.7,,,,,,,31,54,66,59,62,58,70,59,68,60,41,38,9.7
7,Canada,358.3,317.2,368.9,399.2,439.5,478.1,499.7,371.2,389.5,428.8,402.9,434.5,359.2,407.5,445.3,457.5,474.4,499.2,62.8,2092.6,1892.9,2281.9,2059,2592.3,2594.1,2787.1,2238.9,2605.7,2475.1,2423.1,2502.9,2251.4,2188.4,2832.6,2875.7,2613.1,3102.8,300.4,146.7,133.9,209.2,180.3,222,257.4,256.6,192.8,242.4,265.5,270.9,269.6,227.5,241.4,268.6,299.8,296.7,410.7,37.1,1011,888,989,1076,1073,956,885,933,973,806,811,808,619,555,546,418,391,411,37.1
8,Chile,,,,,,,,,,18.7,16.7,29,38,31.6,40.9,40.7,28.3,48.3,2.3,,,,,,,,,,122.1,73.1,132.4,190.6,133.8,192.7,241.9,179.3,251.5,16.2,,,,,,,,,,18.8,11.1,25.4,18.7,13.3,27.6,24.2,17.3,32.6,2.8,,,,,,,,,,24,18,33,35,33,44,48,30,38,2.8
9,China,39.5,42.6,61,58.1,64.8,79.2,60.1,46.7,55.4,80.6,104.1,96.4,98.9,167.1,164.9,219.4,278.5,574.3,57.8,289.8,305.8,598.7,585.7,488.1,540.9,518.5,393.8,780.5,576.7,1005.1,813.4,860.4,1461,1793.1,2270,2555.3,5103.1,541.3,32.4,28.4,41.1,53.1,49,61.3,67.6,55.7,87.7,88.9,142.1,186.9,148.7,310.4,218.5,330.4,382.4,862.7,85.2,84,76,124,109,123,135,95,122,148,137,184,190,162,221,207,267,308,286,85.2
